period,region_code,region_name,export_usd,import_usd,balance_usd,source
2023-10,IN,인도,1531651230.0,598427169.0,933224061.0,관세청 국가별 수출입실적 집계
2023-10,JP,일본,2492282609.0,3932137045.0,-1439854436.0,관세청 국가별 수출입실적 집계
2023-10,LATAM,중남미,1886057108.0,2309477697.0,-423420589.0,관세청 국가별 수출입실적 집계
2023-10,MIDDLE_EAST,중동,2169428812.0,7402296930.0,-5232868118.0,관세청 국가별 수출입실적 집계
2023-10,US,미국,10059688605.0,6212985705.0,3846702900.0,관세청 국가별 수출입실적 집계
2023-11,ASEAN,아세안,9780624730.0,6127451800.0,3653172930.0,관세청 국가별 수출입실적 집계
2023-11,CIS,CIS,951175535.0,874959744.0,76215791.0,관세청 국가별 수출입실적 집계
2023-11,CN,중국,11342928349.0,12087236707.0,-744308358.0,관세청 국가별 수출입실적 집계
2023-11,EU27,EU(27),5395911970.0,5324895001.0,71016969.0,관세청 국가별 수출입실적 집계
2023-11,IN,인도,1523664455.0,603715436.0,919949019.0,관세청 국가별 수출입실적 집계
2023-11,JP,일본,2542676598.0,3717928114.0,-1175251516.0,관세청 국가별 수출입실적 집계
2023-11,LATAM,중남미,1883190882.0,1937646021.0,-54455139.0,관세청 국가별 수출입실적 집계
2023-11,MIDDLE_EAST,중동,1928159404.0,7648871819.0,-5720712415.0,관세청 국가별 수출입실적 집계
2023-11,US,미국,10943600066.0,6204912236.0,4738687830.0,관세청 국가별 수출입실적 집계
2023-12,ASEAN,아세안,9438376116.0,6490173956.0,2948202160.0,관세청 국가별 수출입실적 집계
2023-12,CIS,CIS,893118480.0,847776901.0,45341579.0,관세청 국가별 수출입실적 집계
2023-12,CN,중국,10864297912.0,10887275327.0,-22977415.0,관세청 국가별 수출입실적 집계
2023-12,EU27,EU(27),5034248124.0,6001591564.0,-967343440.0,관세청 국가별 수출입실적 집계
2023-12,IN,인도,1588847052.0,540284372.0,1048562680.0,관세청 국가별 수출입실적 집계
2023-12,JP,일본,2486617962.0,3920619133.0,-1434001171.0,관세청 국가별 수출입실적 집계
2023-12,LATAM,중남미,1972637268.0,2434619884.0,-461982616.0,관세청 국가별 수출입실적 집계
2023-12,MIDDLE_EAST,중동,2263178397.0,7671816281.0,-5408637884.0,관세청 국가별 수출입실적 집계
2023-12,US,미국,11280989026.0,6279486485.0,5001502541.0,관세청 국가별 수출입실적 집계
2024-01,ASEAN,아세안,8776772564.0,7506321002.0,1270451562.0,관세청 국가별 수출입실적 집계
2024-01,CIS,CIS,827104094.0,872631934.0,-45527840.0,관세청 국가별 수출입실적 집계
